,@id,hasData_format,hasData_size_mb,isDescribedBy_createdBy
530,frl:6511301,video/mp4,589,personA
1178,frl:6526351,video/mp4,316,personA
509,frl:6511249,application/pdf,200,personB
716,frl:6511901,video/mp4,152,personB
566,frl:6511383,video/mp4,137,personA
132,frl:6510240,video/mp4,110,personA
631,frl:6511609,video/mp4,107,personA
653,frl:6511670,video/mp4,87,personA
1029,frl:6525596,application/pdf,80,personC
1107,frl:6526142,video/mp4,76,personA
856,frl:6525003,video/mp4,71,personA
175,frl:6510333,video/mp4,61,personA
285,frl:6510786,video/mp4,55,personA
